"","gene","Th1","Th2","Th1_17","Th17","NKT","naive.stim","Treg.mem","Treg.naive","naive"
"379","DTNB",9,3,4,5,5,0,3,3,0
"380","FAM169A",1,0,1,1,0,0,0,2,0
"381","IL18R1",3,0,3,4,2,4,3,4,0
"382","INVS",2,2,0,4,1,3,2,1,0
"383","METTL15",1,5,6,2,2,0,6,0,0
"384","MICAL3",3,4,3,1,1,0,2,0,0
"385","RSAD2",0,0,0,1,0,0,0,0,0
"386","SLCO3A1",7,3,2,2,1,2,5,3,0
"387","ST6GAL1",4,3,4,5,3,5,3,3,0
"388","TBC1D32",0,3,3,3,4,3,2,1,0
"389","AP1S3",1,0,0,1,0,0,0,0,0
"390","BCAR3",3,3,3,7,2,4,3,0,0
"391","BNIP3",4,3,3,1,4,0,3,3,0
"392","CCR7",2,3,4,4,1,3,3,4,1
"393","CDC42BPA",3,2,1,0,0,0,1,1,0
"394","DISC1FP1",1,1,0,0,1,0,0,0,0
"395","ENPP2",0,0,0,0,1,0,0,0,0
"396","ERC1",3,5,6,3,1,4,2,3,0
"397","GNG4",2,4,4,1,1,0,0,3,0
"398","GRAMD1B",3,2,5,2,2,0,2,3,0
"399","GSAP",4,7,2,6,5,4,6,3,0
"400","HERC6",1,0,0,0,0,0,0,1,0
"401","KCTD2",2,4,1,2,0,0,2,3,0
"402","LMO7",1,3,2,3,4,0,3,2,0
"403","LSS",0,2,3,5,1,2,3,5,0
"404","MAPT",0,2,0,0,1,0,0,0,0
"405","METTL8",0,2,1,2,2,0,1,1,0
"406","MTSS1",3,4,3,1,6,4,1,3,1
"407","ODF2L",3,2,2,1,3,0,2,3,0
"408","OLAH",0,2,1,0,0,0,1,1,0
"409","PGM2L1",2,1,1,4,1,0,3,4,0
"410","PTPN22",4,4,6,5,2,2,2,3,0
"411","SERPINE2",0,1,0,1,1,2,2,4,0
"412","SLC9B1",0,0,2,1,1,0,0,3,0
"413","SOCS3",3,2,4,3,2,2,2,6,0
"414","STXBP4",0,1,7,2,0,0,2,1,0
"415","TMPRSS6",1,4,5,3,0,4,3,0,0
"416","TTTY14",1,1,1,0,0,0,4,1,0
"417","WWC2",0,2,0,1,0,0,0,0,0
"418","ANKRD33B",5,2,4,6,2,0,2,0,0
"419","ANLN",2,1,0,1,1,0,3,0,0
"420","CCL5",9,2,6,3,4,5,6,5,3
"421","CD7",8,6,1,4,5,0,3,9,0
"422","CD70",5,3,3,4,1,4,3,0,0
"423","CD9",2,2,4,0,1,0,3,3,0
"424","EIF4A3",2,1,2,2,1,1,2,1,0
"425","ENO1",4,3,6,5,3,4,3,6,2
"426","FNIP2",4,2,7,6,6,5,5,1,0
"427","FTL",8,6,7,5,8,5,7,9,0
"428","GK",8,6,2,6,2,3,2,4,2
"429","GPAT3",3,0,2,1,2,0,1,2,0
"430","GPR183",4,7,2,5,2,2,4,1,0
"431","ITGAL",2,4,3,4,2,1,2,4,0
"432","ITGB1",6,4,5,2,4,0,2,2,0
"433","MAML3",9,6,4,0,3,6,5,6,0
"434","MBNL1",7,1,3,5,6,3,4,2,0
"435","MIPEP",4,1,2,2,2,0,1,0,0
"436","MIS18BP1",5,1,1,4,2,0,3,0,0
"437","OASL",1,1,0,1,1,0,1,1,0
"438","PELI1",4,3,6,7,3,4,9,5,0
"439","PRTFDC1",2,0,1,0,1,0,0,0,0
"440","RASGRF2",4,5,4,2,3,6,4,5,0
"441","S100A6",6,3,8,4,5,4,7,5,0
"442","STAG1",7,1,1,3,1,3,1,3,0
"443","SYTL3",2,5,6,5,6,3,1,1,0
"444","TANC2",4,0,6,4,5,4,4,3,0
"445","TGFBR3",3,3,5,3,2,0,2,1,0
"446","TMSB4X",6,4,6,3,3,2,2,2,1
"447","WSB1",4,5,3,1,6,4,6,2,0
"448","YEATS2",4,1,1,5,3,3,2,5,0
"449","ZNF630",7,6,3,3,2,4,3,4,0
"450","ARHGAP15",2,6,2,3,4,3,4,5,0
"451","ATP10A",7,4,7,2,5,2,4,6,0
"452","CAMK4",7,6,5,1,7,5,4,5,0
"453","CASK",2,3,3,2,1,0,3,1,0
"454","CLDN11",3,5,6,2,2,5,3,2,1
"455","CLIC3",2,3,3,6,1,0,1,6,2
"456","DOCK7",3,3,6,3,1,0,1,1,0
"457","FBXL17",3,5,3,6,5,4,2,6,1
"458","GNAQ",4,8,4,7,3,0,5,5,0
"459","GPI",7,2,4,3,1,4,1,2,2
"460","HS2ST1",4,4,3,5,4,3,2,3,0
"461","IFT80",5,1,2,2,2,0,3,1,0
"462","JMY",5,2,2,6,4,5,4,0,0
"463","LAYN",2,3,1,0,2,2,4,2,0
"464","PELI2",2,0,1,1,1,0,1,0,0
"465","PRIM2",2,1,5,0,2,0,2,2,0
"466","PRKCA",4,3,6,5,8,2,1,7,0
"467","RPS6KA5",3,5,5,6,0,0,1,5,0
"468","SCD",3,3,3,7,6,4,2,3,1
"469","SP110",6,6,1,9,3,6,3,7,0
"470","SYTL2",3,4,8,8,4,5,6,5,0
"471","TMOD1",3,1,4,2,2,0,3,0,0
"472","TXK",3,5,2,2,6,2,2,1,0
"473","VWA8",6,3,3,4,3,4,5,4,0
"474","XYLT1",5,7,8,9,5,5,4,5,0
"475","ZRANB2-AS2",1,0,1,0,0,0,0,0,0
"476","A2M",3,3,8,4,1,3,4,2,0
"477","BAZ2B",2,3,2,1,2,0,2,3,0
"478","CHD9",3,7,3,5,4,5,7,5,0
"479","H1FX",4,4,4,3,4,0,5,0,0
"480","IFT88",0,3,2,2,2,0,2,3,0
"481","IL32",3,4,2,3,5,2,5,6,1
"482","KIFC3",2,0,1,2,2,0,0,0,0
"483","PCAT1",1,1,1,0,0,0,0,0,0
"484","PIK3R3",0,0,1,1,0,0,0,1,0
"485","PLK1",0,2,1,2,0,0,3,0,0
